time,.x,.y,.z
2020/02/28/12:49:46.611612,0.0155765898526,0.0620779320598,0.0330521464348
2020/02/28/12:49:46.644901,0.0156455524266,0.0619677826762,0.0328426659107
2020/02/28/12:49:46.678221,0.0156455524266,0.0619677826762,0.0328426659107
2020/02/28/12:49:46.711554,0.0156455524266,0.0619677826762,0.0328426659107
2020/02/28/12:49:46.744891,0.0155961476266,0.062051050365,0.0329859405756
2020/02/28/12:49:46.778227,0.0155961476266,0.062051050365,0.0329859405756
2020/02/28/12:49:46.811559,0.0155961476266,0.062051050365,0.0329859405756
2020/02/28/12:49:46.844900,0.0156464651227,0.0619758591056,0.0328456908464
2020/02/28/12:49:46.878219,0.0156464651227,0.0619758591056,0.0328456908464
2020/02/28/12:49:46.911551,0.0156464651227,0.0619758591056,0.0328456908464
2020/02/28/12:49:46.944886,0.0157531164587,0.0619038753211,0.0325902849436
2020/02/28/12:49:46.978219,0.0157531164587,0.0619038753211,0.0325902849436
2020/02/28/12:49:47.011565,0.0157531164587,0.0619038753211,0.0325902849436
2020/02/28/12:49:47.044916,0.0157529562712,0.0619157664478,0.0326008349657
2020/02/28/12:49:47.078247,0.0157529562712,0.0619157664478,0.0326008349657
2020/02/28/12:49:47.111589,0.0157529562712,0.0619157664478,0.0326008349657
2020/02/28/12:49:47.144938,0.0157411545515,0.0619360022247,0.032645881176
2020/02/28/12:49:47.178260,0.0157411545515,0.0619360022247,0.032645881176
2020/02/28/12:49:47.211603,0.0157411545515,0.0619360022247,0.032645881176
2020/02/28/12:49:47.244902,0.0156144611537,0.0620417110622,0.0329442769289
2020/02/28/12:49:47.278228,0.0156144611537,0.0620417110622,0.0329442769289
2020/02/28/12:49:47.311603,0.0156144611537,0.0620417110622,0.0329442769289
2020/02/28/12:49:47.344954,0.0156710930169,0.0619634352624,0.032793328166
2020/02/28/12:49:47.378238,0.0156710930169,0.0619634352624,0.032793328166
2020/02/28/12:49:47.411574,0.0156710930169,0.0619634352624,0.032793328166
2020/02/28/12:49:47.444911,0.0156743787229,0.0619491674006,0.0327782928944
2020/02/28/12:49:47.478214,0.0156743787229,0.0619491674006,0.0327782928944
2020/02/28/12:49:47.511596,0.0156743787229,0.0619491674006,0.0327782928944
2020/02/28/12:49:47.544942,0.0156631805003,0.0619625039399,0.032807931304
2020/02/28/12:49:47.578223,0.0156631805003,0.0619625039399,0.032807931304
2020/02/28/12:49:47.611605,0.0156631805003,0.0619625039399,0.032807931304
2020/02/28/12:49:47.644918,0.0155862756073,0.0619769692421,0.0329145044088
2020/02/28/12:49:47.678249,0.0155862756073,0.0619769692421,0.0329145044088
2020/02/28/12:49:47.711596,0.0155862756073,0.0619769692421,0.0329145044088
2020/02/28/12:49:47.744892,0.0155143588781,0.0621023848653,0.0331417173147
2020/02/28/12:49:47.778265,0.0155143588781,0.0621023848653,0.0331417173147
2020/02/28/12:49:47.811554,0.0155143588781,0.0621023848653,0.0331417173147
2020/02/28/12:49:47.844925,0.015585526824,0.0619759485126,0.0329089909792
2020/02/28/12:49:47.878243,0.015585526824,0.0619759485126,0.0329089909792
2020/02/28/12:49:47.921824,0.0157616920769,0.0618168264627,0.0324829220772
2020/02/28/12:49:47.944892,0.0157616920769,0.0618168264627,0.0324829220772
2020/02/28/12:49:47.978251,0.0157616920769,0.0618168264627,0.0324829220772
2020/02/28/12:49:48.011556,0.0157616920769,0.0618168264627,0.0324829220772
2020/02/28/12:49:48.044994,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.078256,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.111602,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.144944,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.178274,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.211559,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.244927,0.0157817602158,0.0617754608393,0.0324022322893
